0.1,0.2,0.3,0.4,0
11019,11318,10935,0.43173,3
10769,11098,10614,0.44057,3
11277,11847,11788,0.40025,3
11299,11842,11843,0.39065,3
11785,12638,12819,0.36371,3
11563,12272,12334,0.38295,3
11281,11833,11720,0.40385,3
11344,11838,11783,0.39754,3
11298,11819,11821,0.39058,3
11499,12059,12182,0.37801,3
11537,12172,12351,0.36822,3
11702,12409,12618,0.36113,3
12009,12781,13226,0.34129,3
11769,12440,12680,0.35922,3
11436,12066,12095,0.37955,3
11845,12594,12961,0.34776,3
11995,12740,13332,0.32534,3
10972,11263,10878,0.43302,3
10911,11225,10824,0.4369,3
11157,11592,11343,0.41749,3
11504,12096,12253,0.38143,3
11630,12381,12576,0.37436,3
11794,12534,12853,0.36767,3
11625,12243,12400,0.3807,3
11593,12175,12295,0.3806,3
11447,11957,12008,0.38858,3
11595,12183,12346,0.37306,3
11765,12450,12813,0.34761,3
11897,12640,13078,0.34156,3
12347,13266,13952,0.31328,3
12286,13177,13850,0.31936,3
12046,12747,13256,0.33887,3
12358,13088,13727,0.32398,3
12513,13384,14292,0.29431,3
12335,13154,13953,0.30179,3
11962,12765,13297,0.32547,3
11025,11331,10948,0.43536,3
11140,11436,11168,0.42519,3
11259,11635,11457,0.41727,3
11210,11641,11450,0.41321,3
11302,11852,11782,0.39923,3
11572,12174,12307,0.38448,3
11890,12624,12975,0.36271,3
11847,12493,12831,0.36232,3
11766,12373,12649,0.36536,3
11701,12340,12617,0.36909,3
11804,12465,12864,0.35759,3
11886,12616,13125,0.34141,3
12154,12907,13555,0.32721,3
12557,13461,14341,0.30402,3
12513,13364,14093,0.31654,3
12369,13251,13891,0.32452,3
12475,13428,14268,0.30617,3
12665,13616,14642,0.28551,3
12716,13588,14579,0.28777,3
12652,13294,14178,0.29968,3
12403,13027,13741,0.31137,3
12170,12871,13470,0.3198,3
10875,11189,10741,0.43412,3
11539,11920,11792,0.40502,3
11769,12337,12368,0.39176,3
11364,11880,11735,0.40397,3
11080,11561,11346,0.41428,3
11567,12123,12238,0.3865,3
11983,12646,13029,0.35726,3
12036,12725,13156,0.34472,3
11984,12687,13101,0.34475,3
11799,12493,12842,0.35888,3
11839,12528,12981,0.3502,3
11794,12490,12912,0.34596,3
12259,13149,13863,0.32054,3
12654,13567,14550,0.29685,3
12349,13231,14026,0.31754,3
12331,13242,13999,0.32267,3
12553,13490,14398,0.30423,3
12750,13634,14659,0.28263,3
12661,13606,14539,0.29095,3
12642,13690,14649,0.28788,3
12531,13500,14394,0.29203,3
12422,13355,14256,0.29536,3
12475,13339,14294,0.29215,3
11041,11373,10966,0.42876,3
11477,12032,11913,0.40271,3
11741,12455,12493,0.39159,3
11800,12434,12589,0.3801,3
11279,11701,11596,0.40052,3
11539,12122,12221,0.38309,3
12078,12810,13271,0.34968,3
12382,13103,13740,0.32672,3
12139,12803,13241,0.3426,3
11838,12476,12849,0.35765,3
11680,12333,12663,0.36049,3
11672,12312,12713,0.34543,3
12202,13036,13706,0.32276,3
12751,13762,14842,0.28826,3
12286,13099,13893,0.31523,3
12329,13196,13939,0.32174,3
12723,13732,14763,0.29586,3
13036,14119,15478,0.26432,3
12783,13727,14806,0.28935,3
12605,13513,14429,0.29924,3
12401,13062,13903,0.30421,3
12321,13052,13742,0.31109,3
12490,13244,14043,0.3012,3
12467,13294,14236,0.29153,3
12153,12976,13913,0.29846,3
11438,11946,11898,0.40599,3
11705,12171,12172,0.39578,3
11802,12406,12460,0.39332,3
12089,12789,13040,0.36739,3
11551,12086,12147,0.38081,3
11330,11896,11920,0.3879,3
11848,12581,12918,0.36433,3
12142,12815,13300,0.34251,3
11776,12438,12749,0.35474,3
11595,12282,12544,0.36646,3
