12597,12139,12803,13241,27042,23670,19113,5326,0.3426,3
12344,11838,12476,12849,27157,23603,18986,5310,0.35765,3
12219,11680,12333,12663,26939,23478,18805,5310,0.36049,3
12180,11672,12312,12713,26131,23497,19032,5328,0.34543,3
12590,12202,13036,13706,26770,24585,20160,5339,0.32276,3
12968,12751,13762,14842,26864,25626,21364,5336,0.28826,3
12642,12286,13099,13893,26684,24569,20156,5347,0.31523,3
12683,12329,13196,13939,27163,24623,20142,5335,0.32174,3
12956,12723,13732,14763,27169,25638,21348,5313,0.29586,3
13199,13036,14119,15478,26600,26048,22007,5322,0.26432,3
13055,12783,13727,14806,26863,25369,21178,5330,0.28935,3
12916,12605,13513,14429,26752,25289,21003,5329,0.29924,3
12730,12401,13062,13903,26060,24387,20092,5336,0.30421,3
12692,12321,13052,13742,26153,24489,20218,5342,0.31109,3
12803,12490,13244,14043,26149,24862,20653,5306,0.3012,3
12758,12467,13294,14236,25952,25070,20988,5309,0.29153,3
12517,12153,12976,13913,25751,24640,20624,5289,0.29846,3
12012,11438,11946,11898,28162,21806,16845,5338,0.40599,3
12245,11705,12171,12172,28118,22083,17062,5355,0.39578,3
12320,11802,12406,12460,28616,22791,17729,5335,0.39332,3
12537,12089,12789,13040,28186,23396,18501,5333,0.36739,3
12128,11551,12086,12147,27088,22584,17790,5318,0.38081,3
11939,11330,11896,11920,27028,22232,17455,5314,0.3879,3
12345,11848,12581,12918,27726,23432,18685,5337,0.36433,3
12593,12142,12815,13300,27157,23997,19352,5341,0.34251,3
12299,11776,12438,12749,26767,23445,18806,5327,0.35474,3
12154,11595,12282,12544,27056,23176,18424,5325,0.36646,3
12090,11537,12117,12374,26725,23066,18241,5309,0.36704,3
12324,11834,12535,13060,26271,23874,19478,5315,0.33589,3
12491,12043,12755,13407,26533,24008,19665,5301,0.32864,3
12877,12593,13545,14606,26683,25330,21167,5331,0.2925,3
12662,12318,13271,14168,26662,24921,20617,5357,0.306,3
12592,12238,13155,14010,26874,24666,20333,5332,0.31465,3
13086,12843,13801,14873,26845,25626,21375,5327,0.28697,3
13160,13076,13984,15215,26744,25987,21882,5326,0.27477,3
13011,12765,13696,14669,26989,25299,21000,5330,0.29574,3
12909,12682,13649,14610,26900,25349,21035,5329,0.29607,3
